Year,location,commodity,category,price_per_kg
2025,Bagerhat,Broiler chicken,Chicken,170.69
2025,Bagerhat,Grass carp,Fish,215.0
2025,Bagerhat,Hilsha (500-900) gm,Fish,1139.14
2025,Bagerhat,Katla-Medium (2.50-4.50 kg),Fish,325.0
2025,Bagerhat,Katla-Small (1.50-2.00 kg),Fish,260.0
2025,Bagerhat,Mregal-small,Fish,225.0
2025,Bagerhat,Pangash (big),Fish,192.52
2025,Bagerhat,Rice-Boro-Fine,Rice,75.0
2025,Bagerhat,Rice-Boro-Medium,Rice,59.19
2025,Bagerhat,Ricel-Boro-Mota,Rice,50.69
2025,Bagerhat,Ruhi (Local) - medium (2.50-4.50 kg),Fish,325.0
2025,Bagerhat,Ruhi (Local) - small (1.50-2.00 kg),Fish,260.0
2025,Bagerhat,Shrimp-small,Fish,560.95
2025,Bagerhat,Silver Carp,Fish,210.0
2025,Bagerhat,Sonali Chicken,Chicken,292.88
2025,Bagerhat,Telapia/Nilotica,Fish,162.37
2025,Bandarban,Broiler chicken,Chicken,162.11
2025,Bandarban,Chinigura Rice,Rice,130.0
2025,Bandarban,Hilsha (500-900) gm,Fish,1794.12
2025,Bandarban,Katla-Small (1.50-2.00 kg),Fish,320.0
2025,Bandarban,Local Hen - Medium (700-850 gm),Chicken,550.51
2025,Bandarban,Pangash (big),Fish,175.0
2025,Bandarban,Rice - Aman - Coarse,Rice,48.5
2025,Bandarban,Rice - Aman - Medium,Rice,64.0
2025,Bandarban,Rice - Atap,Rice,61.0
2025,Bandarban,Rice-Boro-Fine,Rice,77.47
2025,Bandarban,Rice-Boro-Medium,Rice,62.56
2025,Bandarban,Ricel-Boro-Mota,Rice,50.94
2025,Bandarban,Ruhi (Local) - small (1.50-2.00 kg),Fish,365.0
2025,Bandarban,Shrimp-small,Fish,625.0
2025,Bandarban,Silver Carp,Fish,215.0
2025,Bandarban,Sonali Chicken,Chicken,272.26
2025,Bandarban,Telapia/Nilotica,Fish,226.76
2025,Barguna,Broiler Farm,Chicken,156.53
2025,Barguna,Chinigura Rice,Rice,103.38
2025,Barguna,Hilsha (500-900) gm,Fish,1639.62
