date,price_per_kg,location,commodity,category
2025-01-01,173.2335241633246,Bagerhat,Broiler chicken,Chicken
2025-02-01,170.51938129734054,Bagerhat,Broiler chicken,Chicken
2025-03-01,175.08140130574785,Bagerhat,Broiler chicken,Chicken
2025-04-01,180.10115289875205,Bagerhat,Broiler chicken,Chicken
2025-05-01,171.64053603144552,Bagerhat,Broiler chicken,Chicken
2025-06-01,172.17801140628944,Bagerhat,Broiler chicken,Chicken
2025-07-01,182.00102289045566,Bagerhat,Broiler chicken,Chicken
2025-08-01,178.3815421480081,Bagerhat,Broiler chicken,Chicken
2025-09-01,172.58509294672552,Bagerhat,Broiler chicken,Chicken
2025-10-01,178.3048089543211,Bagerhat,Broiler chicken,Chicken
2025-11-01,173.69089006389348,Bagerhat,Broiler chicken,Chicken
2025-12-01,174.2164419987189,Bagerhat,Broiler chicken,Chicken
2026-01-01,178.3777118561821,Bagerhat,Broiler chicken,Chicken
2026-02-01,167.87875280770257,Bagerhat,Broiler chicken,Chicken
2026-03-01,169.3806915159201,Bagerhat,Broiler chicken,Chicken
2026-04-01,175.87156381423313,Bagerhat,Broiler chicken,Chicken
2026-05-01,174.10185655166873,Bagerhat,Broiler chicken,Chicken
2026-06-01,181.43481848993366,Bagerhat,Broiler chicken,Chicken
2026-07-01,175.7133245947394,Bagerhat,Broiler chicken,Chicken
2026-08-01,173.66845121918107,Bagerhat,Broiler chicken,Chicken
2026-09-01,188.94297373797315,Bagerhat,Broiler chicken,Chicken
2025-01-01,211.48873142681256,Bagerhat,Grass carp,Fish
2025-02-01,215.71545070362865,Bagerhat,Grass carp,Fish
2025-03-01,207.57609142562615,Bagerhat,Grass carp,Fish
2025-04-01,217.4232522183296,Bagerhat,Grass carp,Fish
2025-05-01,211.12588045002371,Bagerhat,Grass carp,Fish
2025-06-01,213.11857531383336,Bagerhat,Grass carp,Fish
2025-07-01,211.1189923511204,Bagerhat,Grass carp,Fish
2025-08-01,226.94719429008265,Bagerhat,Grass carp,Fish
2025-09-01,214.91294290044033,Bagerhat,Grass carp,Fish
2025-10-01,208.17776450823445,Bagerhat,Grass carp,Fish
2025-11-01,220.30541468306558,Bagerhat,Grass carp,Fish
2025-12-01,207.1255584576869,Bagerhat,Grass carp,Fish
2026-01-01,216.34717018778068,Bagerhat,Grass carp,Fish
2026-02-01,202.36012770097545,Bagerhat,Grass carp,Fish
2026-03-01,206.43319998460512,Bagerhat,Grass carp,Fish
2026-04-01,216.26975497135584,Bagerhat,Grass carp,Fish
2026-05-01,219.7631094409704,Bagerhat,Grass carp,Fish
2026-06-01,216.1053254136753,Bagerhat,Grass carp,Fish
2026-07-01,214.25406857859585,Bagerhat,Grass carp,Fish
2026-08-01,213.05788116344908,Bagerhat,Grass carp,Fish
2026-09-01,205.4635331621301,Bagerhat,Grass carp,Fish
2025-01-01,1150.8828801513705,Bagerhat,Hilsha (500-900) gm,Fish
2025-02-01,1087.366469644342,Bagerhat,Hilsha (500-900) gm,Fish
2025-03-01,1167.16922343037,Bagerhat,Hilsha (500-900) gm,Fish
2025-04-01,1151.4109906978142,Bagerhat,Hilsha (500-900) gm,Fish
2025-05-01,1149.9145582641006,Bagerhat,Hilsha (500-900) gm,Fish
2025-06-01,1202.4283304388011,Bagerhat,Hilsha (500-900) gm,Fish
2025-07-01,1225.235323012116,Bagerhat,Hilsha (500-900) gm,Fish
2025-08-01,1230.3044486988747,Bagerhat,Hilsha (500-900) gm,Fish
2025-09-01,1178.276064691798,Bagerhat,Hilsha (500-900) gm,Fish
2025-10-01,1204.8655231208375,Bagerhat,Hilsha (500-900) gm,Fish
2025-11-01,1235.230227974863,Bagerhat,Hilsha (500-900) gm,Fish
2025-12-01,1265.7249960224353,Bagerhat,Hilsha (500-900) gm,Fish
2026-01-01,1224.488082021897,Bagerhat,Hilsha (500-900) gm,Fish
2026-02-01,1242.9956877823042,Bagerhat,Hilsha (500-900) gm,Fish
2026-03-01,1220.009278635671,Bagerhat,Hilsha (500-900) gm,Fish
2026-04-01,1225.4149434134295,Bagerhat,Hilsha (500-900) gm,Fish
2026-05-01,1302.53872430749,Bagerhat,Hilsha (500-900) gm,Fish
2026-06-01,1329.5966788539502,Bagerhat,Hilsha (500-900) gm,Fish
2026-07-01,1289.2643290943936,Bagerhat,Hilsha (500-900) gm,Fish
2026-08-01,1334.497107872185,Bagerhat,Hilsha (500-900) gm,Fish
2026-09-01,1321.0377522819654,Bagerhat,Hilsha (500-900) gm,Fish
2025-01-01,324.65069611867796,Bagerhat,Katla-Medium (2.50-4.50 kg),Fish
2025-02-01,340.25527564418655,Bagerhat,Katla-Medium (2.50-4.50 kg),Fish
2025-03-01,299.457485235125,Bagerhat,Katla-Medium (2.50-4.50 kg),Fish
2025-04-01,333.01354941765845,Bagerhat,Katla-Medium (2.50-4.50 kg),Fish
2025-05-01,325.84870891532216,Bagerhat,Katla-Medium (2.50-4.50 kg),Fish
2025-06-01,322.08467833295776,Bagerhat,Katla-Medium (2.50-4.50 kg),Fish
2025-07-01,325.89466757122113,Bagerhat,Katla-Medium (2.50-4.50 kg),Fish
2025-08-01,305.6212030826413,Bagerhat,Katla-Medium (2.50-4.50 kg),Fish
2025-09-01,322.85819909358423,Bagerhat,Katla-Medium (2.50-4.50 kg),Fish
2025-10-01,328.48184757223953,Bagerhat,Katla-Medium (2.50-4.50 kg),Fish
2025-11-01,339.40946693622976,Bagerhat,Katla-Medium (2.50-4.50 kg),Fish
2025-12-01,319.94686537183196,Bagerhat,Katla-Medium (2.50-4.50 kg),Fish
2026-01-01,317.11718737179143,Bagerhat,Katla-Medium (2.50-4.50 kg),Fish
2026-02-01,320.1078688250508,Bagerhat,Katla-Medium (2.50-4.50 kg),Fish
2026-03-01,333.9251706475952,Bagerhat,Katla-Medium (2.50-4.50 kg),Fish
2026-04-01,328.2053233191819,Bagerhat,Katla-Medium (2.50-4.50 kg),Fish
2026-05-01,319.8348380132714,Bagerhat,Katla-Medium (2.50-4.50 kg),Fish
2026-06-01,330.00435747285525,Bagerhat,Katla-Medium (2.50-4.50 kg),Fish
2026-07-01,325.9465061061434,Bagerhat,Katla-Medium (2.50-4.50 kg),Fish
2026-08-01,334.44428865769567,Bagerhat,Katla-Medium (2.50-4.50 kg),Fish
2026-09-01,318.15498233469583,Bagerhat,Katla-Medium (2.50-4.50 kg),Fish
2025-01-01,262.30973816110367,Bagerhat,Katla-Small (1.50-2.00 kg),Fish
2025-02-01,262.0362311230031,Bagerhat,Katla-Small (1.50-2.00 kg),Fish
2025-03-01,260.0398849618112,Bagerhat,Katla-Small (1.50-2.00 kg),Fish
2025-04-01,258.17022035967386,Bagerhat,Katla-Small (1.50-2.00 kg),Fish
2025-05-01,248.96010821200676,Bagerhat,Katla-Small (1.50-2.00 kg),Fish
2025-06-01,256.7189664824302,Bagerhat,Katla-Small (1.50-2.00 kg),Fish
2025-07-01,257.3268267710912,Bagerhat,Katla-Small (1.50-2.00 kg),Fish
2025-08-01,253.74223730007137,Bagerhat,Katla-Small (1.50-2.00 kg),Fish
2025-09-01,258.7419714490051,Bagerhat,Katla-Small (1.50-2.00 kg),Fish
2025-10-01,263.1515966831534,Bagerhat,Katla-Small (1.50-2.00 kg),Fish
2025-11-01,274.71225002944215,Bagerhat,Katla-Small (1.50-2.00 kg),Fish
2025-12-01,261.36170694008837,Bagerhat,Katla-Small (1.50-2.00 kg),Fish
2026-01-01,262.00889304763757,Bagerhat,Katla-Small (1.50-2.00 kg),Fish
2026-02-01,259.4193218570239,Bagerhat,Katla-Small (1.50-2.00 kg),Fish
2026-03-01,245.0335845206675,Bagerhat,Katla-Small (1.50-2.00 kg),Fish
2026-04-01,259.7931917714961,Bagerhat,Katla-Small (1.50-2.00 kg),Fish
2026-05-01,260.46979563754,Bagerhat,Katla-Small (1.50-2.00 kg),Fish
2026-06-01,279.2132884773852,Bagerhat,Katla-Small (1.50-2.00 kg),Fish
2026-07-01,258.49958447470726,Bagerhat,Katla-Small (1.50-2.00 kg),Fish
2026-08-01,262.35206927020215,Bagerhat,Katla-Small (1.50-2.00 kg),Fish
2026-09-01,259.7292481962991,Bagerhat,Katla-Small (1.50-2.00 kg),Fish
2025-01-01,230.33946564254057,Bagerhat,Mregal-small,Fish
2025-02-01,218.86163468013552,Bagerhat,Mregal-small,Fish
2025-03-01,234.46886159881868,Bagerhat,Mregal-small,Fish
2025-04-01,215.53750532615211,Bagerhat,Mregal-small,Fish
2025-05-01,228.96128538315182,Bagerhat,Mregal-small,Fish
2025-06-01,239.78557547421735,Bagerhat,Mregal-small,Fish
2025-07-01,218.31387980536786,Bagerhat,Mregal-small,Fish
2025-08-01,221.17749032518128,Bagerhat,Mregal-small,Fish
2025-09-01,225.67264671434157,Bagerhat,Mregal-small,Fish
2025-10-01,221.60153933471565,Bagerhat,Mregal-small,Fish
2025-11-01,214.5330218403036,Bagerhat,Mregal-small,Fish
2025-12-01,225.46280007994068,Bagerhat,Mregal-small,Fish
2026-01-01,217.82944993234878,Bagerhat,Mregal-small,Fish
