Division,District,Upazila,Market Name,Commodity Name,Year,Retail Unit,Retail Price,Average Price,Whole Sale Unit,Wholesale price,Average Price
Chattagram,Comilla,Chandina,Chandina Bazar,Broiler chicken,2026,Kilogram,175.17--182.46,178.81,Quintal,"15,966.67--16,437.5","16,202.08"
Chattagram,Comilla,Chandina,Chandina Bazar,Sonali Chicken,2026,Kilogram,308.92--319.42,314.17,Quintal,"28,200--28,894.17","28,547.08"
Chattagram,Comilla,Comilla Sadar,Comilla Sadar Bazar,Local Hen - Medium (700-850 gm),2025,Kilogram,586.54--614.62,600.58,Quintal,"53,038.46--55,115.38","54,076.92"
Chattagram,Comilla,Comilla Sadar,Comilla Sadar Bazar,Broiler chicken,2025,Kilogram,155.04--160.62,157.83,Quintal,"14,123.85--14,499.23","14,311.54"
Chattagram,Comilla,Comilla Sadar,Comilla Sadar Bazar,Sonali Chicken,2025,Kilogram,237.62--250.38,244,Quintal,"19,969.23--21,415.38","20,692.31"
Chattagram,Comilla,Comilla Sadar,Comilla Sadar Bazar,Local Hen - Medium (700-850 gm),2026,Kilogram,550--600,575,Quintal,"45,000--50,000","47,500"
Chattagram,Comilla,Comilla Sadar,Comilla Sadar Bazar,Broiler chicken,2026,Kilogram,168.25--174.01,171.13,Quintal,"15,828.03--16,214.65","16,021.34"
Chattagram,Comilla,Comilla Sadar,Comilla Sadar Bazar,Sonali Chicken,2026,Kilogram,310--321.66,315.83,Quintal,"28,847.13--29,910.83","29,378.98"
Chattagram,Comilla,Burichang,Kangshanagar Bazar,Broiler chicken,2026,Kilogram,174.04--179.76,176.9,Quintal,"16,490.38--16,931.73","16,711.06"
Chattagram,Comilla,Burichang,Kangshanagar Bazar,Sonali Chicken,2026,Kilogram,311.15--323.85,317.5,Quintal,"28,653.85--29,634.62","29,144.23"
Chattagram,Comilla,Burichang,Burichong Bazar,Broiler chicken,2026,Kilogram,173.1--178.33,175.71,Quintal,"15,476.19--15,947.62","15,711.90"
Chattagram,Comilla,Burichang,Burichong Bazar,Sonali Chicken,2026,Kilogram,287.62--300.95,294.29,Quintal,"26,761.9--27,928.57","27,345.24"
Chattagram,Comilla,Lalmai,Lalmai Bazar,Broiler chicken,2026,Kilogram,172.5--179.17,175.83,Quintal,"16,100--16,583.33","16,341.67"
Chattagram,Comilla,Lalmai,Lalmai Bazar,Sonali Chicken,2026,Kilogram,314.17--325,319.58,Quintal,"29,291.67--30,291.67","29,791.67"
Chattagram,Feni,Chhagalnaiya,Chagalnaiya Bazar,Broiler chicken,2026,Kilogram,177.18--182.48,179.83,Quintal,"16,044.44--16,391.67","16,218.06"
Chattagram,Feni,Chhagalnaiya,Chagalnaiya Bazar,Sonali Chicken,2026,Kilogram,331.03--340.92,335.98,Quintal,"30,989.13--31,618.48","31,303.80"
