Division,District,Upazila,Market Name,Commodity Name,Year,Retail Unit,Retail Price,Average Price,Whole Sale Unit,Wholesale price,Average Price
Chattagram,Comilla,Chandina,Chandina Bazar,Ruhi (Imported) small (1.50-2.00 kg),2026,Kilogram,287.48--308.29,297.88,Quintal,"26,558.56--27,436.94","26,997.75"
Chattagram,Comilla,Chandina,Chandina Bazar,Katla-Small (1.50-2.00 kg),2026,Kilogram,311.67--325.83,318.75,Quintal,"28,350--29,839.17","29,094.58"
Chattagram,Comilla,Chandina,Chandina Bazar,Pangash (big),2026,Kilogram,171.5--181.5,176.5,Quintal,"15,414.17--15,943.33","15,678.75"
Chattagram,Comilla,Chandina,Chandina Bazar,Silver Carp,2026,Kilogram,183.78--201.78,192.78,Quintal,"17,077.78--18,022.22","17,550"
Chattagram,Comilla,Chandina,Chandina Bazar,Telapia/Nilotica,2026,Kilogram,192.67--202.67,197.67,Quintal,"17,342.22--17,653.33","17,497.78"
Chattagram,Comilla,Chandina,Chandina Bazar,Ruhi (Local) - small (1.50-2.00 kg),2026,Kilogram,350--360,355,Quintal,"34,000--35,000","34,500"
Chattagram,Comilla,Comilla Sadar,Comilla Sadar Bazar,Ruhi (Local) - medium (2.50-4.50 kg),2025,Kilogram,360--380,370,Quintal,"32,000--34,000","33,000"
Chattagram,Comilla,Comilla Sadar,Comilla Sadar Bazar,Ruhi (Local) - small (1.50-2.00 kg),2025,Kilogram,303.23--340,321.62,Quintal,"30,000--32,000","31,000"
Chattagram,Comilla,Comilla Sadar,Comilla Sadar Bazar,Katla-Medium (2.50-4.50 kg),2025,Kilogram,380--400,390,Quintal,"34,000--36,000","35,000"
Chattagram,Comilla,Comilla Sadar,Comilla Sadar Bazar,Katla-Small (1.50-2.00 kg),2025,Kilogram,340--360,350,Quintal,"32,000--34,000","33,000"
Chattagram,Comilla,Comilla Sadar,Comilla Sadar Bazar,Mregal-small,2025,Kilogram,220--250,235,Quintal,"20,000--22,000","21,000"
Chattagram,Comilla,Comilla Sadar,Comilla Sadar Bazar,Pangash (big),2025,Kilogram,168.38--178.38,173.38,Quintal,"15,000--16,000","15,500"
Chattagram,Comilla,Comilla Sadar,Comilla Sadar Bazar,Silver Carp,2025,Kilogram,270--280,275,Quintal,"25,000--26,000","25,500"
Chattagram,Comilla,Comilla Sadar,Comilla Sadar Bazar,Grass carp,2025,Kilogram,270--280,275,Quintal,"25,000--26,000","25,500"
Chattagram,Comilla,Comilla Sadar,Comilla Sadar Bazar,Telapia/Nilotica,2025,Kilogram,176.23--196.23,186.23,Quintal,"14,623.08--16,623.08","15,623.08"
Chattagram,Comilla,Comilla Sadar,Comilla Sadar Bazar,Ruhi (Local) - medium (2.50-4.50 kg),2026,Kilogram,360--380,370,Quintal,"32,000--34,000","33,000"
Chattagram,Comilla,Comilla Sadar,Comilla Sadar Bazar,Ruhi (Local) - small (1.50-2.00 kg),2026,Kilogram,319.81--349.17,334.49,Quintal,"29,996.82--31,722.93","30,859.87"
Chattagram,Comilla,Comilla Sadar,Comilla Sadar Bazar,Katla-Medium (2.50-4.50 kg),2026,Kilogram,380--400,390,Quintal,"34,000--36,000","35,000"
Chattagram,Comilla,Comilla Sadar,Comilla Sadar Bazar,Katla-Small (1.50-2.00 kg),2026,Kilogram,337.64--360.76,349.2,Quintal,"31,407.64--32,593.63","32,000.64"
Chattagram,Comilla,Comilla Sadar,Comilla Sadar Bazar,Mregal-small,2026,Kilogram,220--250,235,Quintal,"20,000--22,000","21,000"
Chattagram,Comilla,Comilla Sadar,Comilla Sadar Bazar,Pangash (big),2026,Kilogram,185.67--186.69,186.18,Quintal,"15,798.09--16,703.82","16,250.96"
Chattagram,Comilla,Comilla Sadar,Comilla Sadar Bazar,Silver Carp,2026,Kilogram,189.65--201.18,195.41,Quintal,"17,423.57--18,204.46","17,814.01"
Chattagram,Comilla,Comilla Sadar,Comilla Sadar Bazar,Grass carp,2026,Kilogram,270--280,275,Quintal,"25,000--26,000","25,500"
