Division,District,Upazila,Market Name,Commodity Name,Year,Retail Unit,Retail Price,Average Price,Whole Sale Unit,Wholesale price,Average Price
Chattagram,Comilla,Chandina,Chandina Bazar,Rice-Boro-Hybrid -Fine,2026,Kilogram,80--82,81,Quintal,"7,391.78--7,586.3","7,489.04"
Chattagram,Comilla,Chandina,Chandina Bazar,Rice - Boro - Hybrid - Medium,2026,Kilogram,60--62,61,Quintal,"5,349.32--5,543.84","5,446.58"
Chattagram,Comilla,Chandina,Chandina Bazar,Rice - Boro - Hybrid - Coarse,2026,Kilogram,50--52,51,Quintal,"4,473.97--4,668.49","4,571.23"
Chattagram,Comilla,Chandina,Chandina Bazar,Rice - Aman-Fine,2026,Kilogram,82--85,83.5,Quintal,"7,500--7,700","7,600"
Chattagram,Comilla,Chandina,Chandina Bazar,Rice - Aman - Medium,2026,Kilogram,58--62,60,Quintal,"5,500--5,600","5,550"
Chattagram,Comilla,Chandina,Chandina Bazar,Rice - Aman - Coarse,2026,Kilogram,50--52,51,Quintal,"4,500--4,709.52","4,604.76"
Chattagram,Comilla,Chandina,Chandina Bazar,Rice - Aush - Hybrid - Narrow,2026,Kilogram,80.6--84.4,82.5,Quintal,"7,400--7,700","7,550"
Chattagram,Comilla,Chandina,Chandina Bazar,Rice - Aush - Hybrid - Medium,2026,Kilogram,58--62,60,Quintal,"5,500--5,800","5,650"
Chattagram,Comilla,Chandina,Chandina Bazar,Rice - Aush - Hybrid - Coarse,2026,Kilogram,50--52,51,Quintal,"4,600--4,800","4,700"
Chattagram,Comilla,Comilla Sadar,Comilla Sadar Bazar,Rice - Aman-Fine,2025,Kilogram,82.63--85.75,84.19,Quintal,"7,453.85--7,723.08","7,588.46"
Chattagram,Comilla,Comilla Sadar,Comilla Sadar Bazar,Rice - Aman - Medium,2025,Kilogram,62.77--66.08,64.42,Quintal,"5,539.23--5,800","5,669.62"
Chattagram,Comilla,Comilla Sadar,Comilla Sadar Bazar,Rice - Aman - Coarse,2025,Kilogram,49.72--53.72,51.72,Quintal,"4,502.31--4,788.46","4,645.38"
Chattagram,Comilla,Comilla Sadar,Comilla Sadar Bazar,Rice-Boro-Hybrid -Fine,2025,Kilogram,81.95--84.47,83.21,Quintal,"7,600--7,800","7,700"
Chattagram,Comilla,Comilla Sadar,Comilla Sadar Bazar,Rice - Boro - Hybrid - Medium,2025,Kilogram,60.05--64.54,62.29,Quintal,"5,404.62--5,800","5,602.31"
Chattagram,Comilla,Comilla Sadar,Comilla Sadar Bazar,Rice - Boro - Hybrid - Coarse,2025,Kilogram,50--55,52.5,Quintal,"4,597.69--4,795.38","4,696.54"
Chattagram,Comilla,Comilla Sadar,Comilla Sadar Bazar,Rice - Aman-Fine,2026,Kilogram,82.28--84.84,83.56,Quintal,"7,500--7,700","7,600"
Chattagram,Comilla,Comilla Sadar,Comilla Sadar Bazar,Rice - Aman - Medium,2026,Kilogram,59.58--63.75,61.67,Quintal,"5,500--5,716.78","5,608.39"
Chattagram,Comilla,Comilla Sadar,Comilla Sadar Bazar,Rice - Aman - Coarse,2026,Kilogram,50--53.43,51.71,Quintal,"4,500--4,800","4,650"
Chattagram,Comilla,Comilla Sadar,Comilla Sadar Bazar,Rice-Boro-Hybrid -Fine,2026,Kilogram,82.2--84.3,83.25,Quintal,"7,600--7,800","7,700"
Chattagram,Comilla,Comilla Sadar,Comilla Sadar Bazar,Rice - Boro - Hybrid - Medium,2026,Kilogram,60--64,62,Quintal,"5,400--5,800","5,600"
Chattagram,Comilla,Comilla Sadar,Comilla Sadar Bazar,Rice - Boro - Hybrid - Coarse,2026,Kilogram,50--52.83,51.41,Quintal,"4,600--4,800","4,700"
Chattagram,Comilla,Comilla Sadar,Comilla Sadar Bazar,Rice - Aush - Hybrid - Narrow,2026,Kilogram,82--85,83.5,Quintal,"7,500--7,700","7,600"
Chattagram,Comilla,Comilla Sadar,Comilla Sadar Bazar,Rice - Aush - Hybrid - Medium,2026,Kilogram,58--62,60,Quintal,"5,500--5,800","5,650"
Chattagram,Comilla,Comilla Sadar,Comilla Sadar Bazar,Rice - Aush - Hybrid - Coarse,2026,Kilogram,50--52,51,Quintal,"4,587.5--4,800","4,693.75"
Chattagram,Comilla,Burichang,Kangshanagar Bazar,Rice-Boro-Hybrid -Fine,2026,Kilogram,82--84,83,Quintal,"7,600--7,800","7,700"
Chattagram,Comilla,Burichang,Kangshanagar Bazar,Rice - Boro - Hybrid - Medium,2026,Kilogram,60--64,62,Quintal,"5,297.19--5,800","5,548.60"
Chattagram,Comilla,Burichang,Kangshanagar Bazar,Rice - Boro - Hybrid - Coarse,2026,Kilogram,50--52,51,Quintal,"4,600--4,800","4,700"
Chattagram,Comilla,Burichang,Burichong Bazar,Rice-Boro-Hybrid -Fine,2026,Kilogram,82--84,83,Quintal,"7,600--7,800","7,700"
Chattagram,Comilla,Burichang,Burichong Bazar,Rice - Boro - Hybrid - Medium,2026,Kilogram,60--64,62,Quintal,"5,400--5,800","5,600"
Chattagram,Comilla,Burichang,Burichong Bazar,Ricel-Boro-Mota,2026,Kilogram,50--52,51,Quintal,"4,600--4,800","4,700"
Chattagram,Comilla,Burichang,Burichong Bazar,Rice - Aman-Fine,2026,Kilogram,82--85,83.5,Quintal,"7,500--7,700","7,600"
Chattagram,Comilla,Burichang,Burichong Bazar,Rice - Aman - Medium,2026,Kilogram,58--62,60,Quintal,"5,500--5,600","5,550"
Chattagram,Comilla,Burichang,Burichong Bazar,Rice - Amon - Hybrid - Coarse,2026,Kilogram,50--52,51,Quintal,"4,500--4,800","4,650"
